"","X.1","X","site_ID","ID","Month_2015_from_pm2.5","monthly_mean_aqi_2015_from_pm2.5","monthly_mean_pm2.5_2015_from_pm2.5","n.obs_2015_from_pm2.5","Month_2015_from_pm10","monthly_mean_aqi_2015_from_pm10","monthly_mean_pm10_2015_from_pm10","n.obs_2015_from_pm10","Month_2016_from_pm2.5","monthly_mean_aqi_2016_from_pm2.5","monthly_mean_pm2.5_2016_from_pm2.5","n.obs_2016_from_pm2.5","Month_2016_from_pm10","monthly_mean_aqi_2016_from_pm10","monthly_mean_pm10_2016_from_pm10","n.obs_2016_from_pm10","Month_2017_from_pm2.5","monthly_mean_aqi_2017_from_pm2.5","monthly_mean_pm2.5_2017_from_pm2.5","n.obs_2017_from_pm2.5","Month_2017_from_pm10","monthly_mean_aqi_2017_from_pm10","monthly_mean_pm10_2017_from_pm10","n.obs_2017_from_pm10","Month_2018_from_pm2.5","monthly_mean_aqi_2018_from_pm2.5","monthly_mean_pm2.5_2018_from_pm2.5","n.obs_2018_from_pm2.5","Month_2018_from_pm10","monthly_mean_aqi_2018_from_pm10","monthly_mean_pm10_2018_from_pm10","n.obs_2018_from_pm10","Month_2019_from_pm2.5","monthly_mean_aqi_2019_from_pm2.5","monthly_mean_pm2.5_2019_from_pm2.5","n.obs_2019_from_pm2.5","Month_2019_from_pm10","monthly_mean_aqi_2019_from_pm10","monthly_mean_pm10_2019_from_pm10","n.obs_2019_from_pm10","Month_2020_from_pm2.5","monthly_mean_aqi_2020_from_pm2.5","monthly_mean_pm2.5_2020_from_pm2.5","n.obs_2020_from_pm2.5","Month_2020_from_pm10","monthly_mean_aqi_2020_from_pm10","monthly_mean_pm10_2020_from_pm10","n.obs_2020_from_pm10","interstate","distance_feet","distance_mi","name_pp","active_flag","fuel_type","PP_distance_feet","PP_distance_mi","med_income","Month_2021_from_pm2.5","monthly_mean_pm2.5_2021_from_pm2.5","Month_2022_from_pm2.5","monthly_mean_pm2.5_2022_from_pm2.5","Month_2023_from_pm2.5","monthly_mean_pm2.5_2023_from_pm2.5"
"324",324,324,"Pacific Street","Pacific Street_October",NA,NA,NA,NA,"October",37.74193548,43.64516129,31,NA,NA,NA,NA,"October",34.90322581,39.25806452,31,NA,NA,NA,NA,"October",33.48387097,38.64516129,31,NA,NA,NA,NA,"October",28.70967742,31.77419355,31,NA,NA,NA,NA,"October",26.19354839,29.16129032,31,NA,NA,NA,NA,"October",25.35714286,28.35714286,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325",325,325,"Pacific Street","Pacific Street_August",NA,NA,NA,NA,"August",37.06896552,42.10344828,29,NA,NA,NA,NA,"August",32.93548387,36.41935484,31,NA,NA,NA,NA,"August",44.48387097,55,31,NA,NA,NA,NA,"August",40.87096774,46.64516129,31,NA,NA,NA,NA,"August",36.22580645,40.80645161,31,NA,NA,NA,NA,"August",29.92592593,32.62962963,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326",326,326,"Pacific Street","Pacific Street_December",NA,NA,NA,NA,"December",19.83870968,21.38709677,31,NA,NA,NA,NA,"December",19.35483871,20.87096774,31,NA,NA,NA,NA,"December",23.41935484,25.41935484,31,NA,NA,NA,NA,"December",23.12903226,25.16129032,31,NA,NA,NA,NA,"December",19.90322581,21.41935484,31,NA,NA,NA,NA,"December",25.41935484,27.51612903,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327",327,327,"Pacific Street","Pacific Street_February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"February",32.96551724,39.34482759,29,NA,NA,NA,NA,"February",36.17857143,42.14285714,28,NA,NA,NA,NA,"February",27.25,29.75,28,NA,NA,NA,NA,"February",16.71428571,17.95238095,21,NA,NA,NA,NA,"February",28.62068966,31.4137931,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328",328,328,"Pacific Street","Pacific Street_January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"January",24.35483871,26.87096774,31,NA,NA,NA,NA,"January",21.96774194,23.83870968,31,NA,NA,NA,NA,"January",23.12903226,25.19354839,31,NA,NA,NA,NA,"January",22.8,24.6,5,NA,NA,NA,NA,"January",19.62068966,21.27586207,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329",329,329,"Pacific Street","Pacific Street_July",NA,NA,NA,NA,"July",39.74074074,45.44444444,27,NA,NA,NA,NA,"July",32.06451613,34.87096774,31,NA,NA,NA,NA,"July",47.35483871,57.80645161,31,NA,NA,NA,NA,"July",34.06451613,37.35483871,31,NA,NA,NA,NA,"July",39.16666667,43.63333333,30,NA,NA,NA,NA,"July",32.4137931,35.37931034,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330",330,330,"Pacific Street","Pacific Street_June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"June",39.89285714,45.46428571,28,NA,NA,NA,NA,"June",44.75,54.32142857,28,NA,NA,NA,NA,"June",29.51851852,32.2962963,27,NA,NA,NA,NA,"June",33.96551724,37.34482759,29,NA,NA,NA,NA,"June",36.93333333,41.53333333,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331",331,331,"Pacific Street","Pacific Street_March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March",34.25806452,39.51612903,31,NA,NA,NA,NA,"March",33.90322581,37.83870968,31,NA,NA,NA,NA,"March",32.41935484,36.4516129,31,NA,NA,NA,NA,"March",28.93548387,32.77419355,31,NA,NA,NA,NA,"March",24.19354839,26.19354839,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332",332,332,"Pacific Street","Pacific Street_May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"May",45.67741935,56.61290323,31,NA,NA,NA,NA,"May",34.77419355,39.67741935,31,NA,NA,NA,NA,"May",40.4516129,45.74193548,31,NA,NA,NA,NA,"May",33.5483871,38.5483871,31,NA,NA,NA,NA,"May",25.75,27.85714286,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333",333,333,"Pacific Street","Pacific Street_November",NA,NA,NA,NA,"November",27,29.6,30,NA,NA,NA,NA,"November",37.96666667,44.86666667,30,NA,NA,NA,NA,"November",31.63333333,35.06666667,30,NA,NA,NA,NA,"November",28.5,31.16666667,30,NA,NA,NA,NA,"November",23.13333333,25.33333333,30,NA,NA,NA,NA,"November",27.33333333,31.93333333,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
