"","X.1","X","site_ID","ID","Month_2015_from_pm2.5","monthly_mean_aqi_2015_from_pm2.5","monthly_mean_pm2.5_2015_from_pm2.5","n.obs_2015_from_pm2.5","Month_2015_from_pm10","monthly_mean_aqi_2015_from_pm10","monthly_mean_pm10_2015_from_pm10","n.obs_2015_from_pm10","Month_2016_from_pm2.5","monthly_mean_aqi_2016_from_pm2.5","monthly_mean_pm2.5_2016_from_pm2.5","n.obs_2016_from_pm2.5","Month_2016_from_pm10","monthly_mean_aqi_2016_from_pm10","monthly_mean_pm10_2016_from_pm10","n.obs_2016_from_pm10","Month_2017_from_pm2.5","monthly_mean_aqi_2017_from_pm2.5","monthly_mean_pm2.5_2017_from_pm2.5","n.obs_2017_from_pm2.5","Month_2017_from_pm10","monthly_mean_aqi_2017_from_pm10","monthly_mean_pm10_2017_from_pm10","n.obs_2017_from_pm10","Month_2018_from_pm2.5","monthly_mean_aqi_2018_from_pm2.5","monthly_mean_pm2.5_2018_from_pm2.5","n.obs_2018_from_pm2.5","Month_2018_from_pm10","monthly_mean_aqi_2018_from_pm10","monthly_mean_pm10_2018_from_pm10","n.obs_2018_from_pm10","Month_2019_from_pm2.5","monthly_mean_aqi_2019_from_pm2.5","monthly_mean_pm2.5_2019_from_pm2.5","n.obs_2019_from_pm2.5","Month_2019_from_pm10","monthly_mean_aqi_2019_from_pm10","monthly_mean_pm10_2019_from_pm10","n.obs_2019_from_pm10","Month_2020_from_pm2.5","monthly_mean_aqi_2020_from_pm2.5","monthly_mean_pm2.5_2020_from_pm2.5","n.obs_2020_from_pm2.5","Month_2020_from_pm10","monthly_mean_aqi_2020_from_pm10","monthly_mean_pm10_2020_from_pm10","n.obs_2020_from_pm10","interstate","distance_feet","distance_mi","name_pp","active_flag","fuel_type","PP_distance_feet","PP_distance_mi","med_income","Month_2021_from_pm2.5","monthly_mean_pm2.5_2021_from_pm2.5","Month_2022_from_pm2.5","monthly_mean_pm2.5_2022_from_pm2.5","Month_2023_from_pm2.5","monthly_mean_pm2.5_2023_from_pm2.5"
"1",1,1,"Andersen School","Andersen School_November","November",32.9,8.025,40,NA,NA,NA,NA,"November",33.325,8.16,40,NA,NA,NA,NA,"November",32.675,8.035,40,NA,NA,NA,NA,"November",31.81081081,7.781081081,37,NA,NA,NA,NA,"November",34.92307692,8.507692308,39,NA,NA,NA,NA,"November",25.44827586,6.089655172,29,NA,NA,NA,NA,"35W",2977.52,0.563924242,"Hennepin County Energy Center","Y","Natural gas",6852.65657,1.298129059,26224,"November",6.123333333,"November",8.65641025641026,"November",7.89333333333333
"2",2,2,"Andersen School","Andersen School_September","September",34,8.288235294,17,NA,NA,NA,NA,"September",19.1025641,4.569230769,39,NA,NA,NA,NA,"September",33.675,8.555,40,NA,NA,NA,NA,"September",19.28205128,4.553846154,39,NA,NA,NA,NA,"September",27.95,6.6925,40,NA,NA,NA,NA,"September",33,8.09,30,NA,NA,NA,NA,"35W",2977.52,0.563924242,"Hennepin County Energy Center","Y","Natural gas",6852.65657,1.298129059,26224,"September",4.845454545,"September",6.87352941176471,"September",10.6342105263158
"3",3,3,"Andersen School","Andersen School_October","October",29.2195122,7.06097561,41,NA,NA,NA,NA,"October",24.02777778,5.822222222,36,NA,NA,NA,NA,"October",20.08108108,4.8,37,NA,NA,NA,NA,"October",21.75609756,5.207317073,41,NA,NA,NA,NA,"October",24.36585366,5.851219512,41,NA,NA,NA,NA,"October",27.74193548,6.725806452,31,NA,NA,NA,NA,"35W",2977.52,0.563924242,"Hennepin County Energy Center","Y","Natural gas",6852.65657,1.298129059,26224,"October",3.874193548,"October",9.34634146341463,"October",6.59354838709677
"4",4,4,"Andersen School","Andersen School_April","April",20.5,4.89,10,NA,NA,NA,NA,"April",27.60606061,6.681818182,33,NA,NA,NA,NA,"April",27.975,6.795,40,NA,NA,NA,NA,"April",33.875,8.19,40,NA,NA,NA,NA,"April",20.85,5.215,40,NA,NA,NA,NA,"April",35.3,8.683333333,30,NA,NA,NA,NA,"35W",2977.52,0.563924242,"Hennepin County Energy Center","Y","Natural gas",6852.65657,1.298129059,26224,"April",5.21025641,"April",5.46052631578947,"April",6.40769230769231
"5",5,5,"Andersen School","Andersen School_August","August",28.9,7.03,10,NA,NA,NA,NA,"August",23.27906977,5.581395349,43,NA,NA,NA,NA,"August",29.02439024,7.080487805,41,NA,NA,NA,NA,"August",44.775,11.7,40,NA,NA,NA,NA,"August",28.4047619,6.826190476,42,NA,NA,NA,NA,"August",33.58064516,8.125806452,31,NA,NA,NA,NA,"35W",2977.52,0.563924242,"Hennepin County Energy Center","Y","Natural gas",6852.65657,1.298129059,26224,"August",8.226829268,"August",7.00975609756098,"August",13.0142857142857
"6",6,6,"Andersen School","Andersen School_December","December",33.48780488,8.163414634,41,NA,NA,NA,NA,"December",28.43902439,6.846341463,41,NA,NA,NA,NA,"December",34.8974359,8.758974359,39,NA,NA,NA,NA,"December",41.32432432,11.31351351,37,NA,NA,NA,NA,"December",50.68292683,13.62926829,41,NA,NA,NA,NA,"December",31.70967742,7.948387097,31,NA,NA,NA,NA,"35W",2977.52,0.563924242,"Hennepin County Energy Center","Y","Natural gas",6852.65657,1.298129059,26224,"December",9.77804878,"December",8.57,"December",10.548275862069
"7",7,7,"Andersen School","Andersen School_March","March",28.54545455,6.845454545,11,NA,NA,NA,NA,"March",29.92682927,7.295121951,41,NA,NA,NA,NA,"March",30.48780488,7.363414634,41,NA,NA,NA,NA,"March",36.65853659,9.27804878,41,NA,NA,NA,NA,"March",34.16666667,8.652380952,42,NA,NA,NA,NA,"March",36.70967742,8.909677419,31,NA,NA,NA,NA,"35W",2977.52,0.563924242,"Hennepin County Energy Center","Y","Natural gas",6852.65657,1.298129059,26224,"March",6.853658537,"March",6.3,"March",7.29285714285714
"8",8,8,"Andersen School","Andersen School_May","May",21.2,5.08,10,NA,NA,NA,NA,"May",32.36585366,8.441463415,41,NA,NA,NA,NA,"May",19.52380952,4.654761905,42,NA,NA,NA,NA,"May",32.75609756,8.095121951,41,NA,NA,NA,NA,"May",18.72222222,4.555555556,18,NA,NA,NA,NA,"May",29.61290323,7.1,31,NA,NA,NA,NA,"35W",2977.52,0.563924242,"Hennepin County Energy Center","Y","Natural gas",6852.65657,1.298129059,26224,"May",3.833333333,"May",5.31379310344828,"May",11.5589743589744
"9",9,9,"Andersen School","Andersen School_January","January",29.3,7.03,10,NA,NA,NA,NA,"January",43.24390244,11.51707317,41,NA,NA,NA,NA,"January",44.66666667,11.65,42,NA,NA,NA,NA,"January",42.48780488,10.4902439,41,NA,NA,NA,NA,"January",29.85,7.4275,40,NA,NA,NA,NA,"January",45.73333333,11.69666667,30,NA,NA,NA,NA,"35W",2977.52,0.563924242,"Hennepin County Energy Center","Y","Natural gas",6852.65657,1.298129059,26224,"January",11.05,"January",9.7390243902439,"January",13.6878048780488
"10",10,10,"Andersen School","Andersen School_July","July",40.375,10.125,8,NA,NA,NA,NA,"July",24.3902439,5.848780488,41,NA,NA,NA,NA,"July",27.85365854,6.682926829,41,NA,NA,NA,NA,"July",30.14285714,7.592857143,42,NA,NA,NA,NA,"July",31.92307692,7.688461538,26,NA,NA,NA,NA,"July",39.22580645,10.91935484,31,NA,NA,NA,NA,"35W",2977.52,0.563924242,"Hennepin County Energy Center","Y","Natural gas",6852.65657,1.298129059,26224,"July",17.08536585,"July",6.65217391304348,"July",16.76
"11",11,11,"Andersen School","Andersen School_June","June",32.1,8.16,10,NA,NA,NA,NA,"June",23.075,5.5375,40,NA,NA,NA,NA,"June",22.15,5.295,40,NA,NA,NA,NA,"June",28.525,6.9225,40,NA,NA,NA,NA,"June",28.1,6.74,10,NA,NA,NA,NA,"June",36.93333333,8.876666667,30,NA,NA,NA,NA,"35W",2977.52,0.563924242,"Hennepin County Energy Center","Y","Natural gas",6852.65657,1.298129059,26224,"June",4.971794872,"June",6.27105263157895,"June",23.3175
"12",12,12,"Andersen School","Andersen School_February","February",29.44444444,7.022222222,9,NA,NA,NA,NA,"February",32.47368421,8.115789474,38,NA,NA,NA,NA,"February",36.32432432,8.905405405,37,NA,NA,NA,NA,"February",42.84210526,10.86842105,38,NA,NA,NA,NA,"February",41.81081081,11.03513514,37,NA,NA,NA,NA,"February",40.17241379,9.896551724,29,NA,NA,NA,NA,"35W",2977.52,0.563924242,"Hennepin County Energy Center","Y","Natural gas",6852.65657,1.298129059,26224,"February",10.52424242,"February",9.28421052631579,"February",8.90810810810811
"13",13,13,"Andersen Windows North","Andersen Windows North_December","December",32.90322581,8.138709677,31,"December",13.5483871,14.64516129,31,"December",43.87096774,10.87741935,31,"December",17.3,18.63333333,30,"December",42.31034483,10.66206897,29,"December",21.58064516,24.09677419,31,"December",30.90322581,8.412903226,31,"December",19.70967742,21.38709677,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94",22704,4.3,"Xcel Energy - Allen S King Generating Plant","Y","Coal",2064.804407,0.391145036,39688,NA,NA,NA,NA,NA,NA
"14",14,14,"Andersen Windows North","Andersen Windows North_February","February",49.59259259,13.05555556,27,"February",31.35714286,34.60714286,28,"February",29.62068966,7.389655172,29,"February",19.60869565,21.65217391,23,"February",46.88,11.76,25,"February",31.17857143,34.96428571,28,"February",49.85714286,12.99642857,28,"February",26.69230769,29.34615385,26,"February",32.42857143,8.475,28,"February",15.85714286,17.14285714,21,NA,NA,NA,NA,NA,NA,NA,NA,"94",22704,4.3,"Xcel Energy - Allen S King Generating Plant","Y","Coal",2064.804407,0.391145036,39688,NA,NA,NA,NA,NA,NA
"15",15,15,"Andersen Windows North","Andersen Windows North_April","April",26.76666667,6.433333333,30,"April",23.83333333,26.63333333,30,NA,NA,NA,NA,"April",23.68421053,26.26315789,19,"April",38.23333333,9.43,30,"April",25.5,28.8,30,"April",39.3,9.58,30,"April",32.40740741,36.88888889,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94",22704,4.3,"Xcel Energy - Allen S King Generating Plant","Y","Coal",2064.804407,0.391145036,39688,NA,NA,NA,NA,NA,NA
"16",16,16,"Andersen Windows North","Andersen Windows North_August","August",16.16129032,3.796774194,31,"August",21.22580645,23.03225806,31,NA,NA,NA,NA,"August",17.32,18.76,25,"August",23.83870968,5.74516129,31,"August",24.79310345,26.79310345,29,"August",36.6,9.413333333,30,"August",28.44444444,31.81481481,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94",22704,4.3,"Xcel Energy - Allen S King Generating Plant","Y","Coal",2064.804407,0.391145036,39688,NA,NA,NA,NA,NA,NA
"17",17,17,"Andersen Windows North","Andersen Windows North_October","October",25.62068966,6.14137931,29,"October",25.66666667,27.66666667,21,NA,NA,NA,NA,"October",21.09677419,22.83870968,31,"October",22.48387097,5.383870968,31,"October",20.32258065,21.96774194,31,"October",8.064516129,1.567741935,31,"October",20.3,22.16666667,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94",22704,4.3,"Xcel Energy - Allen S King Generating Plant","Y","Coal",2064.804407,0.391145036,39688,NA,NA,NA,NA,NA,NA
"18",18,18,"Andersen Windows North","Andersen Windows North_June","June",22.43333333,5.54,30,"June",22.4,24.13333333,30,NA,NA,NA,NA,"June",22.64285714,24.42857143,28,"June",28.92307692,6.976923077,26,"June",30.3,33.9,30,"June",39.5,9.613333333,30,"June",42,49.83333333,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94",22704,4.3,"Xcel Energy - Allen S King Generating Plant","Y","Coal",2064.804407,0.391145036,39688,NA,NA,NA,NA,NA,NA
"19",19,19,"Andersen Windows North","Andersen Windows North_January","January",45.80645161,11.72258065,31,"January",16.73333333,18.1,30,"January",40.16129032,10.78709677,31,"January",17.84615385,19.57692308,26,"January",54.12903226,14.56129032,31,"January",21.5,23.64285714,28,"January",50.37931034,12.95862069,29,"January",21.70967742,23.83870968,31,"January",22.80645161,5.564516129,31,"January",21.26923077,23.34615385,26,NA,NA,NA,NA,NA,NA,NA,NA,"94",22704,4.3,"Xcel Energy - Allen S King Generating Plant","Y","Coal",2064.804407,0.391145036,39688,NA,NA,NA,NA,NA,NA
"20",20,20,"Andersen Windows North","Andersen Windows North_September","September",27.44827586,6.693103448,29,"September",20.73333333,22.43333333,30,NA,NA,NA,NA,"September",17.73913043,19.08695652,23,"September",26.96666667,6.776666667,30,"September",21.64285714,23.39285714,28,"September",2.681818182,-0.368181818,22,"September",27.10344828,30.44827586,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94",22704,4.3,"Xcel Energy - Allen S King Generating Plant","Y","Coal",2064.804407,0.391145036,39688,NA,NA,NA,NA,NA,NA
"21",21,21,"Andersen Windows North","Andersen Windows North_July","July",32.16666667,8.745833333,24,"July",25.29032258,27.29032258,31,NA,NA,NA,NA,"July",14.83870968,15.93548387,31,"July",21.14285714,5.028571429,28,"July",25.20689655,27.48275862,29,"July",38.74193548,9.396774194,31,"July",38.09677419,43.03225806,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94",22704,4.3,"Xcel Energy - Allen S King Generating Plant","Y","Coal",2064.804407,0.391145036,39688,NA,NA,NA,NA,NA,NA
"22",22,22,"Andersen Windows North","Andersen Windows North_March","March",40.4516129,9.983870968,31,"March",29.48387097,32.35483871,31,"March",30.26666667,7.376666667,30,"March",20.74193548,22.4516129,31,"March",42.22580645,10.55806452,31,"March",23.10344828,24.79310345,29,"March",46.88888889,12.32592593,27,"March",35.18518519,40,27,"March",29.32258065,7.367741935,31,"March",23.83333333,26.1,30,NA,NA,NA,NA,NA,NA,NA,NA,"94",22704,4.3,"Xcel Energy - Allen S King Generating Plant","Y","Coal",2064.804407,0.391145036,39688,NA,NA,NA,NA,NA,NA
"23",23,23,"Andersen Windows North","Andersen Windows North_May","May",20.29032258,4.835483871,31,"May",20.03225806,21.74193548,31,NA,NA,NA,NA,"May",30.03225806,33.29032258,31,"May",28.80645161,6.9,31,"May",25.03225806,27.38709677,31,"May",38.5483871,9.348387097,31,"May",34.48387097,39.19354839,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94",22704,4.3,"Xcel Energy - Allen S King Generating Plant","Y","Coal",2064.804407,0.391145036,39688,NA,NA,NA,NA,NA,NA
"24",24,24,"Andersen Windows North","Andersen Windows North_November","November",32.43333333,7.83,30,"November",18.68965517,20.06896552,29,"November",40.71428571,9.914285714,28,"November",20.9,22.7,30,"November",43.03448276,10.87931034,29,"November",23.36666667,25.13333333,30,"November",16.3,3.99,30,"November",18.26666667,19.66666667,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94",22704,4.3,"Xcel Energy - Allen S King Generating Plant","Y","Coal",2064.804407,0.391145036,39688,NA,NA,NA,NA,NA,NA
"25",25,25,"Andersen Windows South","Andersen Windows South_December","December",33.18181818,8.16969697,33,"December",9.193548387,9.903225806,31,"December",23.70588235,5.670588235,34,"December",14.19354839,15.25806452,31,"December",29.46875,7.15625,32,"December",18.25806452,19.67741935,31,"December",50.6875,14.10625,32,"December",14.63333333,15.83333333,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94",21542.4,4.08,"Xcel Energy - Allen S King Generating Plant","Y","Coal",3032.024883,0.574369891,39688,NA,NA,NA,NA,NA,NA
"26",26,26,"Andersen Windows South","Andersen Windows South_September","September",30.63636364,7.475757576,33,"September",14.13333333,15.36666667,30,"September",13.5,3.25,2,"September",13.46666667,14.53333333,30,"September",19.03125,4.365625,32,"September",20.36666667,22.1,30,"September",23.40740741,5.588888889,27,"September",12.62068966,13.72413793,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94",21542.4,4.08,"Xcel Energy - Allen S King Generating Plant","Y","Coal",3032.024883,0.574369891,39688,NA,NA,NA,NA,NA,NA
"27",27,27,"Andersen Windows South","Andersen Windows South_July","July",44.02941176,11.91176471,34,"July",14.29032258,15.51612903,31,"July",16,3.85,2,"July",6.709677419,7.258064516,31,"July",12.96551724,2.64137931,29,"July",17.62068966,19,29,"July",14.33333333,3.373333333,30,"July",19.16129032,20.67741935,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94",21542.4,4.08,"Xcel Energy - Allen S King Generating Plant","Y","Coal",3032.024883,0.574369891,39688,NA,NA,NA,NA,NA,NA
"28",28,28,"Andersen Windows South","Andersen Windows South_June","June",40.71875,10.35,32,"June",11.7,12.76666667,30,"June",22.5,5.4,2,"June",8.153846154,8.807692308,26,"June",12.625,3.01875,32,"June",18.8,20.56666667,30,"June",17.58064516,4.2,31,"June",18.13333333,19.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94",21542.4,4.08,"Xcel Energy - Allen S King Generating Plant","Y","Coal",3032.024883,0.574369891,39688,NA,NA,NA,NA,NA,NA
"29",29,29,"Andersen Windows South","Andersen Windows South_August","August",21.0625,5.03125,32,"August",11.10714286,12,28,"August",18.33333333,4.4,3,"August",13.4,14.52,25,"August",17.3030303,4.078787879,33,"August",15.38709677,16.61290323,31,"August",34.77419355,8.909677419,31,"August",15.70967742,16.80645161,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94",21542.4,4.08,"Xcel Energy - Allen S King Generating Plant","Y","Coal",3032.024883,0.574369891,39688,NA,NA,NA,NA,NA,NA
"30",30,30,"Andersen Windows South","Andersen Windows South_January","January",40.90909091,10.32121212,33,"January",12.43333333,13.53333333,30,"January",41.55882353,11.06764706,34,"January",13.03225806,14.12903226,31,"January",39.48484848,10.19393939,33,"January",17.61290323,18.96774194,31,"January",38.33333333,9.272727273,33,"January",17.79310345,19.20689655,29,"January",45.0625,11.315625,32,"January",12.79310345,13.93103448,29,NA,NA,NA,NA,NA,NA,NA,NA,"94",21542.4,4.08,"Xcel Energy - Allen S King Generating Plant","Y","Coal",3032.024883,0.574369891,39688,NA,NA,NA,NA,NA,NA
"31",31,31,"Andersen Windows South","Andersen Windows South_October","October",29.27272727,7.036363636,33,"October",17.03225806,18.41935484,31,"October",24,5.8,3,"October",15.80645161,17.03225806,31,"October",14.625,3.5,32,"October",16.19354839,17.58064516,31,"October",27.52941176,6.602941176,34,"October",11.06451613,11.93548387,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94",21542.4,4.08,"Xcel Energy - Allen S King Generating Plant","Y","Coal",3032.024883,0.574369891,39688,NA,NA,NA,NA,NA,NA
"32",32,32,"Andersen Windows South","Andersen Windows South_March","March",34.52941176,8.382352941,34,"March",14.38709677,15.58064516,31,"March",22.78787879,5.490909091,33,"March",11.16666667,12.16666667,30,"March",24.51612903,5.912903226,31,"March",14.96666667,16.16666667,30,"March",25.38709677,6.461290323,31,"March",16.58064516,17.93548387,31,"March",47.51515152,12.55151515,33,"March",14.16666667,15.26666667,30,NA,NA,NA,NA,NA,NA,NA,NA,"94",21542.4,4.08,"Xcel Energy - Allen S King Generating Plant","Y","Coal",3032.024883,0.574369891,39688,NA,NA,NA,NA,NA,NA
"33",33,33,"Andersen Windows South","Andersen Windows South_February","February",42.36666667,10.94,30,"February",16.53571429,17.89285714,28,"February",25.83870968,6.380645161,31,"February",10.72413793,11.65517241,29,"February",29.93333333,7.183333333,30,"February",19.60714286,21.07142857,28,"February",36.25,8.866666667,12,"February",19.23076923,20.73076923,26,"February",52.48387097,14.3516129,31,"February",13,14.07407407,27,NA,NA,NA,NA,NA,NA,NA,NA,"94",21542.4,4.08,"Xcel Energy - Allen S King Generating Plant","Y","Coal",3032.024883,0.574369891,39688,NA,NA,NA,NA,NA,NA
"34",34,34,"Andersen Windows South","Andersen Windows South_April","April",24.0625,5.75625,32,"April",13.86666667,15,30,"April",22.33333333,5.3,3,"April",11.83333333,12.66666667,30,"April",20.06060606,4.83030303,33,"April",14.8,16.03333333,30,"April",24.0625,5.75625,32,"April",17.16666667,18.53333333,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94",21542.4,4.08,"Xcel Energy - Allen S King Generating Plant","Y","Coal",3032.024883,0.574369891,39688,NA,NA,NA,NA,NA,NA
"35",35,35,"Andersen Windows South","Andersen Windows South_May","May",24.20588235,5.802941176,34,"May",11.48387097,12.38709677,31,"May",18.5,4.45,2,"May",14.4516129,15.77419355,31,"May",11.19354839,2.683870968,31,"May",14.32258065,15.61290323,31,"May",22.55882353,5.379411765,34,"May",22.03225806,23.74193548,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94",21542.4,4.08,"Xcel Energy - Allen S King Generating Plant","Y","Coal",3032.024883,0.574369891,39688,NA,NA,NA,NA,NA,NA
"36",36,36,"Andersen Windows South","Andersen Windows South_November","November",35.5625,8.596875,32,"November",12.91304348,13.86956522,23,"November",26.59375,6.440625,32,"November",17.08,18.44,25,"November",26.75757576,6.542424242,33,"November",17.76666667,19.1,30,"November",38.84375,9.659375,32,"November",11.4,12.4,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94",21542.4,4.08,"Xcel Energy - Allen S King Generating Plant","Y","Coal",3032.024883,0.574369891,39688,NA,NA,NA,NA,NA,NA
"37",37,37,"Anoka County Airport","Anoka County Airport_April","April",19.9,4.77,40,"April",13.86666667,15.03333333,30,"April",23.35714286,5.646428571,28,"April",6.962962963,7.37037037,27,"April",27.35,6.6525,40,"April",9.066666667,9.666666667,30,"April",34.45945946,8.421621622,37,"April",11.5,12.33333333,30,"April",23.54285714,5.848571429,35,"April",7.25,7.875,24,"April",24.16666667,5.81,30,"April",9.333333333,10,30,"35W",8923.2,1.69,"Xcel Energy - Riverside Generating Plant","Y","Natural gas",46383.37581,8.786608139,NA,"April",4.7125,"April",4.11538461538461,"April",4.66666666666667
"38",38,38,"Anoka County Airport","Anoka County Airport_August","August",19.28571429,4.621428571,42,"August",12.38709677,13.35483871,31,"August",20.73809524,4.957142857,42,"August",12.58064516,13.67741935,31,"August",31.575,7.75,40,"August",11.93548387,13,31,"August",41.05,10.6225,40,"August",18.14285714,19.5,28,"August",18.5952381,4.45,42,"August",13.90322581,15.03225806,31,"August",19.96774194,4.796774194,31,"August",15.48387097,16.74193548,31,"35W",8923.2,1.69,"Xcel Energy - Riverside Generating Plant","Y","Natural gas",46383.37581,8.786608139,NA,"August",8.503571429,"August",4.86842105263158,"August",9.45263157894737
"39",39,39,"Anoka County Airport","Anoka County Airport_February","February",34.72972973,8.681081081,37,"February",17.17857143,18.57142857,28,"February",26.94736842,6.728947368,38,"February",9.333333333,10.0952381,21,"February",30.77777778,7.377777778,36,"February",10.21428571,11.17857143,28,"February",44.37837838,11.31351351,37,"February",13.75,14.82142857,28,"February",40.63888889,10.67222222,36,"February",9.892857143,10.64285714,28,"February",31.51851852,7.677777778,27,"February",9.148148148,9.962962963,27,"35W",8923.2,1.69,"Xcel Energy - Riverside Generating Plant","Y","Natural gas",46383.37581,8.786608139,NA,"February",10.58181818,"February",8.2,"February",7.91351351351351
"40",40,40,"Anoka County Airport","Anoka County Airport_January","January",32.58536585,8.06097561,41,"January",13.74193548,14.90322581,31,"January",40.27777778,10.76666667,36,"January",15.22222222,16.44444444,27,"January",39.66666667,10.26190476,42,"January",11.48387097,12.41935484,31,"January",44.2,11.0325,40,"January",12.58064516,13.5483871,31,"January",29.48780488,7.248780488,41,"January",9.290322581,10.06451613,31,"January",34.51612903,8.638709677,31,"January",8.064516129,8.741935484,31,"35W",8923.2,1.69,"Xcel Energy - Riverside Generating Plant","Y","Natural gas",46383.37581,8.786608139,NA,"January",10.29285714,"January",8.2725,"January",9.4421052631579
"41",41,41,"Anoka County Airport","Anoka County Airport_July","July",22.34285714,5.711428571,35,"July",15.03225806,16.32258065,31,"July",21.82926829,5.236585366,41,"July",12.12903226,13.12903226,31,"July",30.43243243,7.308108108,37,"July",13.77777778,14.96296296,27,"July",26.55263158,6.394736842,38,"July",13.70967742,14.87096774,31,"July",23.92682927,5.865853659,41,"July",15.83870968,17.06451613,31,"July",22.35483871,5.761290323,31,"July",14.78571429,16,28,"35W",8923.2,1.69,"Xcel Energy - Riverside Generating Plant","Y","Natural gas",46383.37581,8.786608139,NA,"July",17.06315789,"July",5.38292682926829,"July",8.67741935483871
"42",42,42,"Anoka County Airport","Anoka County Airport_December","December",25.19512195,6.06097561,41,"December",8.548387097,9.290322581,31,"December",27,6.465853659,41,"December",8.516129032,9.322580645,31,"December",38.6097561,9.734146341,41,"December",11.22580645,12.25806452,31,"December",37.58333333,10.10277778,36,"December",11.46666667,12.33333333,30,"December",43.725,11.3475,40,"December",11.46666667,12.43333333,30,"December",36.93333333,9.253333333,30,"December",11.63333333,12.6,30,"35W",8923.2,1.69,"Xcel Energy - Riverside Generating Plant","Y","Natural gas",46383.37581,8.786608139,NA,"December",7.759090909,"December",6.503125,"December",9.41935483870968
"43",43,43,"Anoka County Airport","Anoka County Airport_March","March",28.2,6.75,40,"March",14.51724138,15.68965517,29,"March",24.775,6.0225,40,"March",9.655172414,10.44827586,29,"March",29.51219512,7.107317073,41,"March",8.548387097,9.258064516,31,"March",35.70731707,9.07804878,41,"March",8.586206897,9.275862069,29,"March",35.02380952,8.935714286,42,"March",10.58064516,11.29032258,31,"March",25.92592593,6.259259259,27,"March",7.111111111,7.666666667,27,"35W",8923.2,1.69,"Xcel Energy - Riverside Generating Plant","Y","Natural gas",46383.37581,8.786608139,NA,"March",6.1475,"March",5.8025,"March",5.71666666666667
"44",44,44,"Anoka County Airport","Anoka County Airport_September","September",24.525,5.93,40,"September",15.03333333,16.3,30,"September",18.82857143,4.508571429,35,"September",10.56,11.48,25,"September",36.9,9.45,40,"September",18.03333333,19.4,30,"September",15.84615385,3.751282051,39,"September",11.82758621,12.89655172,29,"September",17.65,4.21,40,"September",11.56666667,12.43333333,30,"September",17.80769231,4.284615385,26,"September",14.15384615,15.23076923,26,"35W",8923.2,1.69,"Xcel Energy - Riverside Generating Plant","Y","Natural gas",46383.37581,8.786608139,NA,"September",5.076666667,"September",4.695,"September",9.34285714285714
"45",45,45,"Anoka County Airport","Anoka County Airport_May","May",14.64864865,3.37027027,37,"May",10.2962963,11.11111111,27,"May",32.69230769,8.515384615,39,"May",15.03225806,16.4516129,31,"May",18.66666667,4.469047619,42,"May",9.225806452,9.967741935,31,"May",29.12903226,7.041935484,31,"May",14.67741935,15.77419355,31,"May",22.5,5.509375,32,"May",10.95454545,11.81818182,22,"May",16.61290323,3.967741935,31,"May",9.516129032,10.35483871,31,"35W",8923.2,1.69,"Xcel Energy - Riverside Generating Plant","Y","Natural gas",46383.37581,8.786608139,NA,"May",4.0575,"May",4.82285714285714,"May",7.96410256410256
"46",46,46,"Anoka County Airport","Anoka County Airport_June","June",20.97435897,5.176923077,39,"June",11.5,12.53571429,28,"June",21.7,5.21,40,"June",12.96666667,14,30,"June",18.56756757,4.432432432,37,"June",13.35714286,14.42857143,28,"June",22.84210526,5.486842105,38,"June",12.93333333,14,30,"June",23.525,5.6325,40,"June",13.3,14.5,30,"June",23.16666667,5.536666667,30,"June",16.63333333,18.03333333,30,"35W",8923.2,1.69,"Xcel Energy - Riverside Generating Plant","Y","Natural gas",46383.37581,8.786608139,NA,"June",5.3075,"June",6.075,"June",18.35
